"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","SUCCESS","2015-12-16T11:48:56.060+01:00","0.0","13.75"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2015-12-16T11:49:09.843+01:00","0.0","7.12"
